run,which,step,beta,distill_eval_loss,kl_beta,kl_beta_prime_1,hard_xent,student_teacher_argmax_acc,student_true_acc,student_entropy_beta,student_fisher_trace_beta,student_effective_support_beta,centered_logit_mse,log_softmax_mse,logit_mse,ce_grad_signal_norm_beta,kernel_overlap_initial,kernel_overlap_teacher_target,kernel_effective_rank,teacher_entropy_beta,teacher_fisher_trace_beta
xent_beta-0p5_adamw_seed17,first,0.0,0.5,21.66567611694336,1.9409736394882202,6.703207969665527,10.816036224365234,0.0,0.0,10.81308364868164,0.2499949038028717,49666.3984375,10769.828125,11037.4248046875,2417636.5,0.019505713135004044,0.9998313784589306,0.5068327776387894,4.612757205963135,8.891863822937012,0.24917352199554443
xent_beta-0p5_adamw_seed17,last,4999.0,0.5,19.395248413085938,0.8057606816291809,2.6920876502990723,6.288529396057129,0.19140625,0.1298828125,9.689434051513672,0.24987873435020447,16646.599609375,10523.7548828125,10653.875,2434752.75,0.017636004835367203,0.9783623801676015,0.5334255377391324,5.459678649902344,8.891863822937012,0.24917352199554443
xent_beta-1_adamw_seed17,first,0.0,1.0,10.805243492126465,6.692079544067383,6.692079544067383,10.800203323364258,0.0,0.0,10.77484130859375,0.9999779462814331,47802.8828125,10769.82421875,11037.419921875,2417637.5,0.29423606395721436,0.9998097419728771,0.32645781793906337,4.600013732910156,4.11316442489624,0.8355464935302734
xent_beta-1_adamw_seed17,last,4999.0,1.0,6.034482955932617,1.9213190078735352,1.9213190078735352,5.516885757446289,0.2265625,0.1923828125,6.284371852874756,0.9549717307090759,1007.903076171875,10681.3359375,10845.208984375,2437496.25,0.2634977102279663,0.9379030466070332,0.3915991122479762,6.649728298187256,4.11316442489624,0.8355464935302734
